Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Estimated Complexity,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,CXF Fields,External issue URL,Flags,Rank
CXF,CXF-1377,Support for comments and exclusion list in idltowsdl,Improvement,Closed,Major,Won't Fix,Unassigned,Ramanathan Krishnamurthy,Ramanathan Krishnamurthy,6/27/2006 3:56,7/25/2017 13:07,10/26/2011 17:12,9/9/2011 18:07,,Invalid,CORBA Binding,,0,0,,,,,,,,,"1. Support for comments: Ability to carry over IDL comments as annotations into the generated WSDLs. 

2. Support to specify IDL exclusion lists: Currently if an IDL includes another IDL, the generated WSDL/schema contains types associated with the base WSDL and the included WSDL in a single file. With the support for exclusion lists a user can decide not to generate/process included WSDLs. Such a support would help users better maintain/format generated WSDLs. 
",,,,,,,,,9/9/2011 18:07,,,,"5 years, 46 weeks, 3 days ago",,61739,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,267529,,,,,,,,,0|i1a6k7:
CXF,CXF-1379,tools tests fail on Linux,Bug,Closed,Major,Fixed,Benson Margulies,Lars Kühne,Lars Kühne,7/19/2006 20:44,7/25/2017 13:06,7/3/2008 17:19,5/26/2008 22:55,,2.1.1,CORBA Binding,,0,0,,,,,,,,Linux,"Several tests in WSDLToIDLTest fail on Linux, e.g.


[surefire] testBindAndIDLGen(org.apache.yoko.tools.WSDLToIDLTest) Time elapsed: 0.091 sec <<< ERROR!
java.lang.NullPointerException
at org.apache.yoko.tools.WSDLToIDLTest.testBindAndIDLGen(WSDLToIDLTest.java:238)

The problem is that the file in resources/wsdl is called simple-binding.wsdl, while it is sometime referenced with a capital 'B'. This will fail on systems with a case sensitive filesystem, like Linux/Unix and probably also Mac OS X

String[] cmdArgs = {""-i"", ""BasePortType"",
""-b"", ""BaseOneCORBABinding"",
""-d"", output.getCanonicalPath(),
// the following call to getResource() will work on Windows (case insensitive filesystem) but return null on Linux/Unix
getClass().getResource(""/wsdl/simple-Binding.wsdl"").toString()};
int exc = execute(cmdArgs);
assertEquals(""WSDLToIDL Failed"", noError, exc);

File f1 = new File(output, ""simple-Binding-corba.wsdl"");
assertTrue(""simple-Binding-corba.wsdl should be generated"", f1.exists());
File f2 = new File(output, ""simple-binding.idl"");
assertTrue(""simple-binding.idl should be generated"", f2.exists());
",,,,,,,,,7/20/2006 15:19,,,,"9 years, 10 weeks ago",,112186,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,231428,,,,,,,,,0|i13zsf:
CXF,CXF-1,"set up distribution build, meet incubator requirements etc...",Task,Closed,Major,Fixed,Unassigned,Bozhong Lin,Bozhong Lin,8/29/2006 6:02,,10/24/2006 4:10,10/24/2006 4:10,,2.0-M1,,,0,0,,,,,,,,,,,,,,,,,,,,,,"10 years, 49 weeks ago",,110876,,,Restricted to agents,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,5241,,,,,,,,,0|i01933:
CXF,CXF-2,Complete JAX-WS frontend,New Feature,Closed,Major,Fixed,Daniel Kulp,Daniel Kulp,Daniel Kulp,8/30/2006 21:22,,11/1/2006 9:32,11/1/2006 9:32,2.0-M1,2.0-M1,JAX-WS Runtime,,0,0,,,,,,"CXF-3, CXF-8, CXF-9, CXF-12, CXF-56, CXF-60, CXF-67, CXF-68, CXF-85, CXF-86, CXF-87, CXF-92, CXF-97",CXF-7,,There are a LOT of jax-ws features missing (or not working) in the jaxws frontend,,,,,,,,,,,,,"10 years, 48 weeks, 5 days ago",,110877,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,179389,,,,,,,,,0|i0v2kf:
CXF,CXF-3,CXF-2 Get the SAAJ/SOAP handlers working,Sub-task,Closed,Major,Fixed,Daniel Kulp,Daniel Kulp,Daniel Kulp,8/30/2006 21:24,,7/25/2016 23:17,11/1/2006 9:31,2.0-M1,2.0-M1,JAX-WS Runtime,,0,1,,,,,,,,,,,,,,,,,,1/12/2016 18:38,,,,1 year ago,,110878,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,9579,,,,,,,,,0|i01zv3:
CXF,CXF-4,Find replacement for JSR 181 jar,Improvement,Closed,Minor,Fixed,Unassigned,Daniel Kulp,Daniel Kulp,8/30/2006 21:35,,8/29/2007 18:03,12/6/2006 6:52,,2.0-RC,Build system,,0,0,,,,,,,GERONIMO-2449,,"
We currently have a copy of the jsr181 jar in our repository that we use for building. We should consider replacing that with a ""clean room"" version. Contributing such a version to geronimo-specs and using that would be a good thing.

Currently, the old xfire codebase at codehaus has an implementation. It would need to be verified for compatibility with sun's version (the Harmony team has a jar compare thing we could look at using) and then contributed to geronimo-specs.",,,,,,,,,,,,,"10 years, 48 weeks, 5 days ago",,110879,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,267683,,,,,,,,,0|i1a7if:
CXF,CXF-5,Find replacement for JSR 250 jar,Improvement,Closed,Minor,Fixed,Unassigned,Daniel Kulp,Daniel Kulp,8/30/2006 21:37,,8/29/2007 18:03,12/6/2006 6:53,,2.0-RC,Build system,,0,0,,,,,,,,,"We currently have a copy of the jsr250 jar in our repository that we use for building. We should consider replacing that with a ""clean room"" version. Contributing such a version to geronimo-specs and using that would be a good thing.

The easybeans project at objectweb has some code in their repository that may be usable. It would need to be verified as complete (and clean) and re-packaged for geronimo-specs.",,,,,,,,,,,,,"10 years, 48 weeks, 5 days ago",,110880,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,267682,,,,,,,,,0|i1a7i7:
CXF,CXF-6,"jaxws-api, jsr181-api should be optional in cxf-common pom",Bug,Closed,Major,Fixed,Daniel Kulp,Daniel Kulp,Daniel Kulp,8/30/2006 21:40,,4/30/2008 14:57,2/19/2008 17:07,,2.1,Build system,,0,0,,,,,,,,,"We should declare jaxws-api and jsr181-api as ""optional"" or ""provided"" in the cxf-common pom right now. It is completely possible now for modules like the soap to depend on jax-ws. And they do. In several places classes throw WebServiceExceptions instead of our own internal exceptions.
",,,,,,,,,4/23/2007 4:06,,,,"10 years, 15 weeks, 1 day ago",,110881,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,179594,,,,,,,,,0|i0v3tz:
CXF,CXF-7,Dispatch,Task,Closed,Major,Fixed,maomaode,maomaode,maomaode,8/31/2006 5:36,,8/29/2007 2:06,10/19/2006 2:42,2.0-M1,2.0-M1,JAX-WS Runtime,,0,0,,,,,,"CXF-57, CXF-58, CXF-84",CXF-2,,Implement the jax-ws dispatch interface.,,,,,,,,,,,,,"10 years, 41 weeks, 5 days ago",,110882,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,179475,,,,,,,,,0|i0v33j:
CXF,CXF-8,CXF-2 Holder support,Sub-task,Closed,Major,Fixed,Freeman Fang,Freeman Fang,Freeman Fang,8/31/2006 6:08,,9/13/2006 1:47,9/13/2006 1:47,,2.0-M1,JAX-WS Runtime,,0,0,,,,,,,,,,,,,,,,,,,,,,"10 years, 48 weeks, 5 days ago",,110883,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,179392,,,,,,,,,0|i0v2l3:
CXF,CXF-9,CXF-2 support the case that messagepart in soapheader,Sub-task,Closed,Major,Fixed,Freeman Fang,Freeman Fang,Freeman Fang,8/31/2006 6:10,,9/13/2006 1:48,9/13/2006 1:48,,2.0-M1,JAX-WS Runtime,,0,0,,,,,,,,,,,,,,,,,,,,,,"10 years, 48 weeks, 5 days ago",,110884,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,179393,,,,,,,,,0|i0v2lb:
CXF,CXF-10,Remove default exclude namespace config file in wsdl2java tools,Task,Closed,Major,Fixed,Unassigned,Jim Ma,Jim Ma,8/31/2006 6:21,,8/29/2007 18:00,9/15/2006 7:52,,2.0-M1,Tooling,,0,0,,,,,,,,,,,,,,,,,,,,,,"10 years, 48 weeks, 5 days ago",,110885,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,267681,,,,,,,,,0|i1a7hz:
